feature,variance,selected
worst area,285365.49679193174,True
worst perimeter,1042.4577987502412,True
worst texture,37.17777250385579,True
worst radius,21.651549490760555,True
worst compactness,0.02436524297976287,True
concavity error,0.0009786119066073793,True
worst smoothness,0.0005163503371582803,True
worst fractal dimension,0.00033392223305957197,True
compactness error,0.0003161153713119674,True
symmetry error,6.473457473983035e-05,True
concave points error,3.75954590590322e-05,True
fractal dimension error,7.84639065646149e-06,True
